Loyalty#,Province or State,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,IsActive,Tenure,TotalFlights,TotalFlightsWithCompanions,TotalPointsAccumulated,TotalPointsRedeemed,RedeemRatio,Flights_January,Flights_February,Flights_March,Flights_April,Flights_May,Flights_June,Flights_July,Flights_August,Flights_September,Flights_October,Flights_November,Flights_December,Flights_2019,Flights_2020,Flights_2021
930887,Ontario,female,Bachelor,Rural,66707.0,Married,Nova,2021-12-29,,4887.34,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604328,Ontario,female,Bachelor,Urban,31535.0,Single,Star,2021-12-29,,2713.37,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536959,Newfoundland,female,College,Urban,54040.0,Married,Star,2021-12-29,,4927.71,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906884,Alberta,female,Bachelor,Rural,89284.0,Married,Star,2021-12-29,,7920.11,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540291,British Columbia,male,Bachelor,Suburban,64692.0,Married,Star,2021-12-29,,8435.18,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430521,Saskatchewan,female,Bachelor,Suburban,21500.0,Divorced,Star,2021-12-28,,4515.45,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172593,Quebec,female,Bachelor,Rural,46897.0,Married,Aurora,2021-12-28,,5626.53,Standard,True,0.0,216,69,41595.62,23684.1,0.5693892770440733,26,13,34,25,30,9,0,9,8,24,3,35,73,87,56
942083,British Columbia,female,Bachelor,Rural,65247.0,Married,Nova,2021-12-28,,2899.7,Standard,True,0.0,234,40,43687.16,12805.5,0.2931181610340429,11,14,34,11,26,0,31,14,27,26,31,9,82,99,53
277607,Alberta,male,College,Urban,56020.2,Single,Nova,2021-12-28,,3946.37,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148612,British Columbia,female,Bachelor,Suburban,58414.0,Single,Nova,2021-12-28,,7840.17,Standard,True,0.0,183,28,34699.02,21422.5,0.6173805484996406,27,1,13,22,7,17,24,35,13,4,0,20,54,64,65
152305,Alberta,female,Bachelor,Rural,77330.0,Married,Nova,2021-12-28,,7988.26,Standard,True,0.0,196,45,34318.31,4086.0,0.11906180694795286,27,21,31,19,29,13,19,12,19,0,5,1,55,65,76
822665,Ontario,female,College,Suburban,52729.0,Married,Nova,2021-12-28,,8181.72,Standard,True,0.0,118,25,36416.2,10810.4,0.2968568933606472,1,7,1,7,7,27,26,21,13,0,1,7,38,48,32
529988,Ontario,female,Master,Urban,14290.0,Married,Nova,2021-12-28,,10179.72,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565227,Quebec,female,Master,Rural,15083.0,Married,Nova,2021-12-28,,12947.68,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426141,Alberta,male,Bachelor,Urban,21585.0,Married,Star,2021-12-28,,3605.86,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604825,Ontario,male,Bachelor,Suburban,25632.0,Married,Star,2021-12-28,,4929.55,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826312,Quebec,female,High School or Below,Urban,12430.0,Single,Star,2021-12-28,,5169.5,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795554,Saskatchewan,female,Bachelor,Rural,81945.0,Single,Star,2021-12-28,,5534.82,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475249,Quebec,female,College,Urban,60192.2,Married,Star,2021-12-28,,8009.03,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950961,Alberta,female,College,Suburban,57704.0,Married,Aurora,2021-12-27,,7281.44,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870281,Alberta,female,Bachelor,Suburban,73760.0,Married,Aurora,2021-12-27,,25830.91,Standard,True,0.0,180,33,36255.78,11702.1,0.3227650873874455,7,0,28,0,1,38,0,37,6,24,24,15,62,74,44
831987,British Columbia,female,Bachelor,Urban,26790.0,Married,Nova,2021-12-27,,2810.46,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123060,Ontario,male,Doctor,Urban,10892.0,Divorced,Nova,2021-12-27,,5010.45,Standard,True,0.0,256,60,52946.25,6330.8,0.11957031895554454,12,3,30,37,35,9,39,14,21,24,26,6,84,102,70
859196,British Columbia,male,Bachelor,Urban,32848.0,Married,Nova,2021-12-27,,5876.05,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454665,Newfoundland,female,Bachelor,Rural,38595.0,Divorced,Nova,2021-12-27,,8203.22,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171042,Nova Scotia,female,Bachelor,Rural,89451.0,Single,Star,2021-12-27,,2530.71,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614428,Ontario,male,Bachelor,Urban,60804.0,Married,Star,2021-12-27,,3679.14,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945050,Ontario,female,Bachelor,Rural,46819.0,Divorced,Star,2021-12-27,,4889.77,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809681,Alberta,male,College,Suburban,50816.6,Divorced,Aurora,2021-12-26,,7757.13,Standard,True,0.0,207,18,40075.8,11509.5,0.2871932687557079,18,22,20,0,24,35,13,28,13,8,23,3,61,73,73
984180,New Brunswick,male,Bachelor,Rural,83220.0,Married,Nova,2021-12-26,,4434.03,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913156,British Columbia,female,Bachelor,Rural,66776.0,Single,Nova,2021-12-26,,16796.34,Standard,True,0.0,176,53,30949.46,25825.1,0.8344281289560463,17,17,7,3,7,3,44,5,14,32,27,0,54,65,57
661442,British Columbia,female,Bachelor,Urban,62488.0,Married,Star,2021-12-26,,2404.38,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585066,Quebec,male,Bachelor,Suburban,67837.0,Married,Star,2021-12-26,,2675.57,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662723,British Columbia,male,Bachelor,Rural,59311.0,Divorced,Aurora,2021-12-25,,5480.07,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303049,British Columbia,female,College,Rural,51012.4,Married,Nova,2021-12-25,,8002.31,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289134,British Columbia,male,Bachelor,Urban,75909.0,Married,Nova,2021-12-25,,9343.2,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864845,Quebec,female,College,Rural,46934.0,Single,Star,2021-12-25,,2554.03,Standard,True,0.0,216,48,36947.59,19315.0,0.5227675201549006,30,9,10,21,10,23,47,8,11,9,1,37,57,68,91
163002,Ontario,female,Bachelor,Rural,22241.0,Married,Star,2021-12-25,,5054.33,Standard,True,0.0,178,49,42864.91,28843.8,0.672900048081286,23,0,19,10,20,4,14,35,14,0,18,21,53,65,60
203517,Quebec,female,Bachelor,Urban,56587.0,Divorced,Star,2021-12-25,,5112.57,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829863,Ontario,female,Bachelor,Rural,46298.0,Divorced,Star,2021-12-25,,6503.22,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975212,New Brunswick,male,Bachelor,Suburban,94153.0,Married,Star,2021-12-25,,13576.14,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988839,Saskatchewan,female,Bachelor,Urban,43358.0,Married,Star,2021-12-24,,4878.95,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804510,Alberta,male,Bachelor,Urban,32375.0,Married,Aurora,2021-12-24,,6563.64,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780525,Ontario,female,Bachelor,Urban,58705.0,Married,Nova,2021-12-24,,2754.14,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782606,British Columbia,male,Bachelor,Rural,40160.0,Married,Nova,2021-12-24,,4579.61,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931238,British Columbia,male,Bachelor,Rural,58779.0,Single,Nova,2021-12-24,,7405.27,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916843,Alberta,female,Bachelor,Rural,50825.0,Married,Nova,2021-12-24,,8092.88,Standard,True,0.0,168,33,49825.75,14820.0,0.29743656643402255,6,20,11,1,10,8,40,20,14,12,21,5,47,58,63
432729,Quebec,male,Bachelor,Suburban,47918.0,Married,Star,2021-12-24,,2476.48,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403258,Ontario,male,College,Rural,44857.2,Married,Star,2021-12-24,,4157.7,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892227,British Columbia,male,Doctor,Suburban,17453.0,Married,Star,2021-12-24,,8693.63,Standard,True,0.0,244,45,40561.81,22315.5,0.5501603602008885,23,2,27,17,0,41,57,30,36,4,7,0,87,102,55
216445,Ontario,male,Master,Suburban,23091.0,Married,Aurora,2021-12-23,,5926.73,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223638,Alberta,female,Bachelor,Urban,32051.0,Married,Aurora,2021-12-23,,7724.84,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161574,British Columbia,female,Bachelor,Urban,29938.0,Divorced,Nova,2021-12-23,,3478.89,Standard,True,0.0,162,23,30121.12,24316.9,0.8073039780725286,3,18,0,29,33,15,0,1,8,20,0,35,44,55,63
264053,Ontario,male,Bachelor,Suburban,51337.0,Single,Nova,2021-12-23,,3484.25,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939333,British Columbia,female,Bachelor,Suburban,28095.0,Married,Nova,2021-12-23,,6403.58,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575089,Quebec,male,Bachelor,Urban,55687.0,Divorced,Nova,2021-12-23,,10963.96,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196812,Quebec,female,College,Rural,21645.0,Single,Star,2021-12-23,,2147.66,Standard,True,0.0,155,22,38699.07,0.0,0.0,16,5,1,22,35,15,3,14,5,18,21,0,41,51,63
197529,Saskatchewan,male,College,Urban,56614.0,Married,Star,2021-12-22,,4699.03,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142763,Ontario,male,College,Rural,71304.2,Single,Nova,2021-12-22,,2747.77,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638085,Ontario,male,Bachelor,Urban,74212.0,Married,Nova,2021-12-22,,2908.02,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901478,Ontario,female,Bachelor,Urban,48567.0,Single,Nova,2021-12-22,,5015.01,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431286,British Columbia,female,Bachelor,Suburban,97745.0,Divorced,Nova,2021-12-22,,9043.68,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150767,Nova Scotia,female,College,Urban,22354.2,Single,Star,2021-12-22,,2241.11,Standard,True,0.0,202,48,34884.18,12042.1,0.3452023238040854,4,23,24,6,23,13,39,6,0,20,22,22,58,72,72
373429,British Columbia,female,Master,Urban,25905.0,Divorced,Star,2021-12-22,,2300.69,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620587,British Columbia,female,Bachelor,Rural,37929.0,Divorced,Star,2021-12-22,,4682.25,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214020,British Columbia,female,College,Urban,53378.4,Married,Star,2021-12-22,,5140.11,Standard,True,0.0,188,64,40814.65,8067.4,0.19765941886062968,7,7,19,17,17,17,13,13,10,20,19,29,55,65,68
849673,Ontario,male,Bachelor,Urban,74837.0,Married,Star,2021-12-22,,5332.62,Standard,True,0.0,154,14,38154.21,0.0,0.0,14,25,11,11,28,0,7,10,0,9,32,7,47,60,47
581419,Alberta,male,College,Urban,43815.8,Married,Star,2021-12-22,,8278.79,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848498,Newfoundland,male,Bachelor,Rural,31354.0,Married,Star,2021-12-22,,8667.09,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375115,Ontario,female,College,Rural,37631.0,Single,Star,2021-12-22,,12851.42,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334192,Alberta,male,College,Urban,52496.2,Divorced,Aurora,2021-12-21,,14635.45,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135841,Quebec,male,Bachelor,Suburban,28204.0,Married,Nova,2021-12-21,,2894.58,Standard,True,0.0,221,45,41403.21,8054.0,0.19452597999044036,14,3,8,0,33,36,12,1,18,31,26,39,60,71,90
771753,Quebec,male,Bachelor,Rural,52348.0,Divorced,Nova,2021-12-21,,7590.91,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885357,British Columbia,female,Bachelor,Urban,36645.0,Single,Nova,2021-12-21,,8717.85,Standard,True,0.0,206,54,31563.829999999998,11565.0,0.3664004019791008,22,6,2,0,13,36,31,34,9,13,2,38,81,93,32
224530,Quebec,female,Bachelor,Suburban,40135.0,Married,Star,2021-12-21,,3208.92,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587769,Ontario,male,Doctor,Rural,23059.0,Divorced,Star,2021-12-21,,9421.1,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985757,Ontario,female,College,Rural,55115.8,Married,Aurora,2021-12-20,,6832.11,Standard,True,0.0,199,52,49126.05,11236.6,0.22872997116601068,20,24,10,12,7,20,20,6,17,27,11,25,54,66,79
965713,Ontario,female,College,Suburban,44641.2,Married,Aurora,2021-12-20,,22103.51,Standard,True,0.0,180,43,44960.58,20259.6,0.45060806599914854,16,1,23,0,20,38,16,4,13,10,13,26,53,62,65
161557,Ontario,female,Bachelor,Suburban,81280.0,Married,Nova,2021-12-20,,2752.66,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626070,Quebec,female,Bachelor,Rural,26004.0,Married,Nova,2021-12-20,,2805.1,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923766,Alberta,male,Bachelor,Rural,64460.0,Married,Nova,2021-12-20,,5343.12,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866362,New Brunswick,female,Bachelor,Urban,78824.0,Divorced,Nova,2021-12-20,,6156.36,Standard,True,0.0,199,74,34744.62,13000.9,0.3741845500109081,26,22,28,31,8,26,0,1,17,14,1,25,72,87,40
485705,Ontario,female,Bachelor,Suburban,56188.0,Married,Nova,2021-12-20,,6552.4,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321656,Prince Edward Island,male,College,Rural,54994.2,Single,Star,2021-12-20,,2840.9,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286614,British Columbia,female,Bachelor,Suburban,29365.0,Married,Aurora,2021-12-19,,10896.05,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975692,British Columbia,male,Bachelor,Rural,32017.0,Married,Nova,2021-12-19,,4834.8,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863490,Ontario,male,Bachelor,Rural,33906.0,Married,Nova,2021-12-19,,7579.53,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781797,British Columbia,female,Bachelor,Urban,58789.0,Married,Nova,2021-12-19,,8888.14,Standard,True,0.0,107,58,30304.89,30304.89,1.0,0,5,0,22,24,7,0,19,1,9,0,20,48,59,0
830225,New Brunswick,female,College,Rural,77116.0,Married,Nova,2021-12-19,,14032.59,Standard,True,0.0,183,69,31540.72,24875.5,0.7886788887507957,1,17,2,9,29,38,26,25,20,3,13,0,56,67,60
142190,Ontario,female,Bachelor,Suburban,49706.0,Married,Aurora,2021-12-18,,8996.77,Standard,True,0.0,180,68,41553.89,2876.0,0.06921133015464978,13,11,18,5,16,6,48,22,15,13,7,6,45,54,81
311857,Ontario,male,Doctor,Rural,18150.0,Married,Aurora,2021-12-18,,10215.78,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872340,Ontario,male,Bachelor,Rural,99981.0,Married,Nova,2021-12-18,,2859.53,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444050,Quebec,female,Bachelor,Suburban,97026.0,Married,Nova,2021-12-18,,5876.37,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874938,Quebec,female,Bachelor,Urban,26441.0,Married,Star,2021-12-18,,2647.2,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631232,Ontario,male,Bachelor,Suburban,46143.0,Divorced,Star,2021-12-18,,4794.93,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556755,British Columbia,female,Bachelor,Urban,80277.0,Married,Star,2021-12-18,,13345.14,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184924,Yukon,male,College,Rural,51028.4,Married,Nova,2021-12-17,,9048.98,Standard,True,0.0,164,38,34304.98,0.0,0.0,4,9,0,16,0,8,32,11,27,9,17,31,48,57,59
123780,Nova Scotia,male,College,Urban,62959.4,Single,Star,2021-12-17,,2509.51,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412362,Manitoba,male,Bachelor,Rural,59578.0,Married,Star,2021-12-17,,3894.62,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614720,Ontario,male,Bachelor,Urban,24976.0,Single,Star,2021-12-17,,5493.02,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142800,Quebec,male,Bachelor,Urban,32823.0,Married,Star,2021-12-17,,7824.37,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112894,Ontario,male,College,Rural,36900.8,Married,Aurora,2021-12-16,,10221.81,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145542,Ontario,female,College,Rural,27060.0,Single,Nova,2021-12-16,,3870.36,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109399,Alberta,male,College,Suburban,49287.0,Married,Nova,2021-12-16,,4376.08,Standard,True,0.0,153,55,35254.82,0.0,0.0,23,0,19,0,24,27,20,9,17,0,14,0,38,46,69
140769,Ontario,female,Master,Urban,15741.0,Divorced,Nova,2021-12-16,,9414.94,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861156,Ontario,female,Bachelor,Suburban,64825.0,Married,Nova,2021-12-16,,10298.39,Standard,True,0.0,177,33,33690.81,2476.0,0.0734918513386885,27,3,32,0,31,18,23,22,0,17,2,2,43,52,82
933259,Manitoba,male,High School or Below,Rural,23402.0,Divorced,Nova,2021-12-16,,15519.67,Standard,True,0.0,127,36,26419.96,8648.8,0.32735855769652944,22,3,0,10,13,16,0,11,5,3,5,39,31,37,59
917685,British Columbia,male,Master,Suburban,10337.0,Married,Nova,2021-12-16,,22806.47,Standard,True,0.0,133,52,41692.84,21090.7,0.5058590395856939,19,15,13,3,0,13,3,11,5,33,9,9,28,37,68
989473,Ontario,male,Doctor,Rural,28995.0,Married,Star,2021-12-16,,2602.21,Standard,True,0.0,115,26,34132.99,6524.6,0.19115231334846436,17,3,5,9,13,13,0,22,7,0,19,7,49,58,8
930337,Manitoba,female,Bachelor,Urban,45754.0,Divorced,Star,2021-12-16,,2685.74,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434965,Manitoba,female,Bachelor,Urban,59828.0,Married,Aurora,2021-12-15,,8414.08,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768078,Nova Scotia,female,Bachelor,Urban,63774.0,Divorced,Nova,2021-12-15,,4376.36,Standard,True,0.0,160,35,50112.31,6826.7,0.13622800465594181,17,5,31,26,2,21,11,17,5,9,5,11,44,54,62
954718,New Brunswick,male,College,Rural,57360.6,Married,Nova,2021-12-15,,5677.31,Standard,True,0.0,141,22,24408.05,9670.0,0.3961807682301536,29,0,29,3,0,5,19,17,0,20,0,19,51,59,31
488346,Quebec,female,College,Urban,21645.0,Single,Star,2021-12-15,,1994.77,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616522,Nova Scotia,male,Bachelor,Urban,39854.0,Divorced,Star,2021-12-15,,5217.51,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872408,Alberta,female,High School or Below,Suburban,18107.0,Married,Star,2021-12-14,,4801.66,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842379,British Columbia,male,College,Suburban,87567.2,Married,Aurora,2021-12-14,,5182.46,Standard,True,0.0,167,32,37378.36,0.0,0.0,2,5,28,28,12,14,7,10,12,0,18,31,46,54,67
946439,Quebec,male,Master,Rural,11276.0,Married,Aurora,2021-12-14,,30591.61,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299367,Quebec,female,Bachelor,Urban,36794.0,Single,Nova,2021-12-14,,3837.49,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142122,British Columbia,male,Bachelor,Urban,76157.0,Married,Nova,2021-12-14,,4669.23,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288164,New Brunswick,male,Bachelor,Urban,49057.0,Single,Nova,2021-12-14,,7434.27,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758165,Quebec,male,College,Urban,21645.0,Single,Star,2021-12-14,,2160.92,Standard,True,0.0,117,48,34802.8,8244.4,0.23688898594365967,13,7,7,19,1,15,7,10,15,20,0,3,25,33,59
926531,Ontario,male,Bachelor,Rural,66841.0,Divorced,Star,2021-12-14,,2425.49,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457652,Nova Scotia,female,Bachelor,Suburban,96413.0,Married,Star,2021-12-14,,3979.72,Standard,True,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
